Accession	Country	Collection_Date
OP345106.1	Russia	2020
OP345105.1	Russia	2020
OP345104.1	Russia	2020
OP345103.1	Russia	2020
OP345102.1	Russia	2020
OP345101.1	Russia	2021
OP345100.1	Russia	2021
OP345099.1	Russia	2021
OP345098.1	Russia	2021
OP345097.1	Russia	2021
OP345096.1	Russia	2021
OP345095.1	Russia	2021
OP345094.1	Russia	2021
OP345093.1	Russia	2021
OP345092.1	Russia	2021
OP345091.1	Russia	2021
OP345089.1	Russia	2021
OP345088.1	Russia	2021
OP345087.1	Russia	2021
OP345086.1	Russia	2021
OP345085.1	Russia	2021
MN812759.1	Russia	2018
MN619803.1	Russia	2018
MN619802.1	Russia	2018
MN619801.1	Russia	2018
LC318700.1	Zambia	16-05-2016
MN794939.1	Germany	2019
MN794938.1	Germany	2019
MN794937.1	Germany	2019
MN794935.1	Germany	2019
MF175865.1	USA	2015-09-16
MF175833.1	USA	2015-07-09
MH924836.1	Germany	2018-08-22
MH021189.1	Belgium	2017-10
KY594040.1	Greece	2010
KY523178.1	Uganda	2009-06
KU978769.1	Mexico	2003-05-30
KU978767.1	Madagascar	1988-02-12
JN393308.1	South Africa	2008-04-15
HM147824.1	Democratic Republic of the Congo	1958
HM147823.1	Madagascar	1988
HM147822.1	South Africa	1958
GQ903680.1	Cyprus	1968
JF488088.1	USA	2004
EF429200.1	South Africa	1958
EF429199.1	South Africa	2000
EF429198.1	South Africa	2001
EF429197.1	South Africa	1989
